From,To,Probability
2,-1,0.0026619343389529724
-1,0,0.01419698314108252
0,-1,0.0026619343389529724
-1,-1,0.00709849157054126
2 -1,0,0.0026619343389529724
-1 0,-1,0.0026619343389529724
0 -1,-1,0.0008873114463176575
-1 -1,-1,0.001774622892635315
-1 -1,0,0.005323868677905945
2 -1,0 -1,0.0008873114463176575
-1 0,-1 -1,0.0008873114463176575
0 -1,-1 -1,0.0008873114463176575
-1 -1,-1 -1,0.0008873114463176575
-1 -1,-1 0,0.0008873114463176575
0,2,0.007985803016858917
2,9,0.0008873114463176575
9,-2,0.0008873114463176575
-2,-2,0.001774622892635315
-2,2,0.0026619343389529724
2,3,0.013309671694764862
3,2,0.01774622892635315
-1 0,2,0.005323868677905945
0 2,9,0.0008873114463176575
2 9,-2,0.0008873114463176575
9 -2,-2,0.0008873114463176575
-2 -2,2,0.0008873114463176575
-2 2,3,0.0008873114463176575
2 3,2,0.012422360248447204
-1 0,2 9,0.0008873114463176575
0 2,9 -2,0.0008873114463176575
2 9,-2 -2,0.0008873114463176575
9 -2,-2 2,0.0008873114463176575
-2 -2,2 3,0.0008873114463176575
-2 2,3 2,0.0008873114463176575
0,3,0.005323868677905945
2,5,0.00354924578527063
5,-1,0.0044365572315882874
0 3,2,0.0044365572315882874
3 2,5,0.0026619343389529724
2 5,-1,0.0026619343389529724
5 -1,-1,0.00354924578527063
0 3,2 5,0.0026619343389529724
3 2,5 -1,0.0026619343389529724
2 5,-1 -1,0.001774622892635315
5 -1,-1 0,0.00354924578527063
2,4,0.02839396628216504
4,5,0.03637976929902396
5,4,0.026619343389529725
4,2,0.031055900621118012
0 2,4,0.0008873114463176575
2 4,5,0.018633540372670808
4 5,4,0.01774622892635315
5 4,5,0.009760425909494233
5 4,2,0.013309671694764862
-1 0,2 4,0.0008873114463176575
0 2,4 5,0.0008873114463176575
2 4,5 4,0.00709849157054126
4 5,4 5,0.006211180124223602
5 4,5 4,0.006211180124223602
4 5,4 2,0.008873114463176575
0,4,0.0044365572315882874
5,7,0.015971606033717833
0 4,2,0.0044365572315882874
4 2,4,0.011535048802129548
4 5,7,0.008873114463176575
0 4,2 4,0.00354924578527063
4 2,4 5,0.008873114463176575
2 4,5 7,0.007985803016858917
5,9,0.0026619343389529724
9,7,0.01774622892635315
7,9,0.007985803016858917
9,4,0.0044365572315882874
5 9,7,0.0026619343389529724
9 7,9,0.005323868677905945
7 9,7,0.005323868677905945
7 9,4,0.001774622892635315
9 4,5,0.00354924578527063
5 9,7 9,0.001774622892635315
9 7,9 7,0.00354924578527063
7 9,7 9,0.0026619343389529724
9 7,9 4,0.0008873114463176575
7 9,4 5,0.0008873114463176575
9 4,5 4,0.001774622892635315
7,5,0.01064773735581189
5,5,0.0026619343389529724
4,4,0.00354924578527063
5 7,5,0.005323868677905945
7 5,7,0.0026619343389529724
7 5,5,0.0026619343389529724
5 5,4,0.0026619343389529724
5 4,4,0.001774622892635315
4 4,2,0.001774622892635315
4 5,7 5,0.0026619343389529724
5 7,5 7,0.001774622892635315
7 5,7 5,0.001774622892635315
5 7,5 5,0.001774622892635315
7 5,5 4,0.0026619343389529724
5 5,4 5,0.001774622892635315
4 5,4 4,0.001774622892635315
5 4,4 2,0.001774622892635315
2,0,0.019520851818988466
0 2,0,0.00354924578527063
2 0,2,0.001774622892635315
2 0,3,0.0026619343389529724
-1 0,2 0,0.0008873114463176575
0 2,0 2,0.0008873114463176575
2 0,2 0,0.001774622892635315
0 2,0 3,0.0026619343389529724
2 0,3 2,0.001774622892635315
7,10,0.0026619343389529724
10,9,0.01064773735581189
9,10,0.00709849157054126
5 7,10,0.001774622892635315
7 10,9,0.0026619343389529724
10 9,10,0.001774622892635315
9 10,9,0.005323868677905945
10 9,7,0.00709849157054126
4 5,7 10,0.001774622892635315
5 7,10 9,0.001774622892635315
7 10,9 10,0.001774622892635315
10 9,10 9,0.0008873114463176575
9 10,9 7,0.0044365572315882874
7,11,0.0044365572315882874
11,12,0.008873114463176575
12,11,0.0026619343389529724
5 7,11,0.0044365572315882874
7 11,12,0.0008873114463176575
11 12,11,0.0008873114463176575
12 11,12,0.0026619343389529724
5 7,11 12,0.0008873114463176575
7 11,12 11,0.0008873114463176575
11 12,11 12,0.0008873114463176575
12,14,0.005323868677905945
14,9,0.0026619343389529724
11 12,14,0.0026619343389529724
12 14,9,0.001774622892635315
14 9,10,0.0026619343389529724
11 12,14 9,0.0008873114463176575
12 14,9 10,0.001774622892635315
14 9,10 9,0.001774622892635315
7 9,10,0.0008873114463176575
10 9,4,0.0008873114463176575
9 7,9 10,0.0008873114463176575
7 9,10 9,0.0008873114463176575
9 10,9 4,0.0008873114463176575
10 9,4 5,0.0008873114463176575
3 2,0,0.01064773735581189
2 3,2 0,0.01064773735581189
0 -1,0,0.001774622892635315
-1 -1,0 -1,0.001774622892635315
-1 0,-1 0,0.001774622892635315
0 -1,0 2,0.001774622892635315
2,-3,0.001774622892635315
-3,-2,0.00354924578527063
2 -3,-2,0.001774622892635315
-3 -2,-2,0.0008873114463176575
2 -3,-2 -2,0.0008873114463176575
5,2,0.006211180124223602
4 5,2,0.0044365572315882874
5 2,3,0.0044365572315882874
5 4,5 2,0.001774622892635315
4 5,2 3,0.00354924578527063
5 2,3 2,0.00354924578527063
0,5,0.00354924578527063
2 0,5,0.001774622892635315
0 5,-1,0.0008873114463176575
0 2,5,0.0008873114463176575
2 0,5 -1,0.0008873114463176575
0 5,-1 -1,0.0008873114463176575
-1 0,2 5,0.0008873114463176575
7,7,0.005323868677905945
7,2,0.0008873114463176575
7 7,2,0.0008873114463176575
7 2,0,0.0008873114463176575
2 0,4,0.0008873114463176575
7 7,2 0,0.0008873114463176575
7 2,0 4,0.0008873114463176575
2 0,4 2,0.0008873114463176575
2,2,0.006211180124223602
0 2,2,0.0008873114463176575
2 2,-3,0.0008873114463176575
-1 0,2 2,0.0008873114463176575
0 2,2 -3,0.0008873114463176575
2 2,-3 -2,0.0008873114463176575
-2,-3,0.0008873114463176575
-3,-5,0.0008873114463176575
-5,-5,0.001774622892635315
-2 -3,-5,0.0008873114463176575
-3 -5,-5,0.0008873114463176575
-5 -5,-5,0.0008873114463176575
-2 -3,-5 -5,0.0008873114463176575
-3 -5,-5 -5,0.0008873114463176575
2 4,2,0.006211180124223602
2 4,2 4,0.0044365572315882874
4 2,4 2,0.001774622892635315
9 7,10,0.0008873114463176575
7 9,7 10,0.0008873114463176575
9 7,10 9,0.0008873114463176575
4 2,2,0.00354924578527063
2 2,4,0.005323868677905945
5 4,2 2,0.001774622892635315
4 2,2 4,0.00354924578527063
2 2,4 2,0.0026619343389529724
2 4,5 2,0.0008873114463176575
4,-1,0.001774622892635315
2 4,-1,0.001774622892635315
0,-3,0.001774622892635315
-1 0,-3,0.001774622892635315
0 -3,-2,0.001774622892635315
-3 -2,2,0.001774622892635315
-1 0,-3 -2,0.001774622892635315
0 -3,-2 2,0.001774622892635315
11,11,0.0044365572315882874
-1 0,5,0.0008873114463176575
0 5,7,0.001774622892635315
7 11,11,0.0026619343389529724
-1 -1,0 5,0.0008873114463176575
-1 0,5 7,0.0008873114463176575
0 5,7 11,0.001774622892635315
5 7,11 11,0.0026619343389529724
12,12,0.00354924578527063
12 12,12,0.0008873114463176575
12,15,0.00354924578527063
15,14,0.00354924578527063
12 12,11,0.0008873114463176575
11 12,15,0.001774622892635315
12 15,14,0.00354924578527063
12 12,11 12,0.0008873114463176575
12 11,12 15,0.001774622892635315
11 12,15 14,0.001774622892635315
14,12,0.005323868677905945
15 14,12,0.0026619343389529724
12 15,14 12,0.0026619343389529724
3,0,0.0008873114463176575
2 3,0,0.0008873114463176575
3 0,2,0.0008873114463176575
9 4,5 2,0.001774622892635315
5 2,3 0,0.0008873114463176575
2 3,0 2,0.0008873114463176575
3 0,2 0,0.0008873114463176575
7,12,0.001774622892635315
12,10,0.001774622892635315
5 7,7,0.001774622892635315
7 7,7,0.0008873114463176575
7 7,12,0.0008873114463176575
7 12,10,0.001774622892635315
4 5,7 7,0.001774622892635315
5 7,7 7,0.0008873114463176575
7 7,7 12,0.0008873114463176575
7 7,12 10,0.0008873114463176575
9 7,5,0.001774622892635315
10 9,7 5,0.001774622892635315
4 2,3,0.00354924578527063
5 4,2 3,0.00354924578527063
4 2,3 2,0.00354924578527063
0 5,4,0.0008873114463176575
0 5,4 2,0.0008873114463176575
2 -1,0 -3,0.0008873114463176575
3 2,2,0.0008873114463176575
2 4,4,0.001774622892635315
4 4,5,0.001774622892635315
3 2,2 4,0.0008873114463176575
2 2,4 4,0.0008873114463176575
2 4,4 5,0.001774622892635315
7 7,5,0.0026619343389529724
2 2,4 5,0.001774622892635315
5 7,7 5,0.0008873114463176575
7 5,4,0.00354924578527063
5 7,5 4,0.001774622892635315
7 5,4 2,0.001774622892635315
4 2,4 4,0.0008873114463176575
4 4,5 4,0.0008873114463176575
4 5,9,0.0008873114463176575
2 4,5 9,0.0008873114463176575
4 5,9 7,0.0008873114463176575
9 7,7,0.001774622892635315
9 7,7 5,0.001774622892635315
7 7,5 4,0.0008873114463176575
7 5,4 5,0.001774622892635315
7 10,9 7,0.0008873114463176575
12 12,14,0.0008873114463176575
12 12,14 9,0.0008873114463176575
7 7,5 5,0.0008873114463176575
5 2,4,0.001774622892635315
5 2,4 5,0.001774622892635315
3 2,3,0.0008873114463176575
2 3,2 3,0.0008873114463176575
3 2,3 2,0.0008873114463176575
2 0,5 7,0.0008873114463176575
11 11,11,0.0008873114463176575
11 11,12,0.001774622892635315
11 11,11 12,0.0008873114463176575
11 11,12 14,0.0008873114463176575
10,14,0.0008873114463176575
9 10,14,0.0008873114463176575
14 9,10 14,0.0008873114463176575
14,11,0.0008873114463176575
14 12,15,0.0008873114463176575
14 12,14,0.001774622892635315
12 14,11,0.0008873114463176575
14 12,15 14,0.0008873114463176575
15 14,12 14,0.0008873114463176575
14 12,14 11,0.0008873114463176575
12,9,0.001774622892635315
11 12,9,0.001774622892635315
12 9,7,0.0008873114463176575
11 12,9 7,0.0008873114463176575
9 7,5 4,0.0008873114463176575
5 7,12,0.0008873114463176575
12 10,9,0.0008873114463176575
4 5,7 12,0.0008873114463176575
5 7,12 10,0.0008873114463176575
7 12,10 9,0.0008873114463176575
7 5,7 11,0.0008873114463176575
7 11,11 12,0.0008873114463176575
12 14,12,0.001774622892635315
11 12,14 12,0.0008873114463176575
12 14,12 14,0.0008873114463176575
14 12,14 12,0.0008873114463176575
12,16,0.0008873114463176575
16,11,0.0008873114463176575
14 12,16,0.0008873114463176575
12 16,11,0.0008873114463176575
16 11,12,0.0008873114463176575
15 14,12 16,0.0008873114463176575
14 12,16 11,0.0008873114463176575
12 16,11 12,0.0008873114463176575
16 11,12 9,0.0008873114463176575
10 9,7 9,0.0008873114463176575
4 5,2 4,0.0008873114463176575
